samplename	purity
0009b464-b376-4fbc-8a56-da538269a02f	0.885
003819bc-c415-4e76-887c-931d60ed39e7	0.774
0040b1b6-b07a-4b6e-90ef-133523eaf412	0.8
00493087-9d9d-40ca-86d5-936f1b951c93	0.837
00508f2b-36bf-44fc-b66b-97e1f3e40bfa	0.92
005794f1-5a87-45b5-9811-83ddf6924568	0.596
005e85a3-3571-462d-8dc9-2babfc7ace21	0.46
007aab66-2f07-459d-8952-3041d6ea24a8	0.581
008aef39-0c97-48ce-9dfd-f12d67116c59	0.759
008bad10-d41b-4bbb-86fa-9976ecea46b1	0.361
00aa769d-622c-433e-8a8a-63fb5c41ea42	0.558
00b9d0e6-69dc-4345-bffd-ce32880c8eef	0.949
00bf0350-8c7c-4b9e-8143-13ea2dc1122f	0.492
00c27940-c623-11e3-bf01-24c6515278c0	0.64
00db1b95-8ca3-4cc4-bb46-6b8c8019a7c7	0.406
00db4dc2-3ec7-4ff9-9233-d69c8c8a607f	0.779
01658141-8398-4585-9f0f-8355dd9b0604	0.539
0168a2a6-c3af-4d58-a51c-d33f0fc7876d	0.469
0176cf1d-0760-4769-a493-277f4bb7585e	0.77
0192d529-7340-45d8-a5f0-249cbb11ca19	0.839
01b0848c-ae36-4ade-a3da-d297b003c99f	0.526
01c8e465-2b4e-4519-bdef-c3ac06b43eeb	0.89
01dc6872-c623-11e3-bf01-24c6515278c0	0.602
01df36af-3617-40fc-9892-f54ce433cf71	0.81
02078f77-2b35-4fa3-ab02-2c017181295e	0.8
020fab36-c7de-4933-b2bf-dc7b019a1326	0.818
0250e6f7-2538-4d1f-a8ff-ca34a7057dde	0.386
02706819-bcab-4c49-a569-a4a8c60db1c0	0.319
02917220-6a7a-46a1-8656-907e96bef88e	0.443
0292a46f-a282-4b7f-a7d6-ac55cc7324fb	0.67
02c6a893-49c5-49d1-8eb1-195021e70d52	0.5
02c97e2b-914e-4afc-bf50-78f0cfbfa67b	0.27
02e5c36f-5bec-45e2-a048-875653b85ca1	0.781
030695f6-c623-11e3-bf01-24c6515278c0	0.72
031962d6-fc7d-4c6c-9d47-ffa45997b249	0.89
0332b017-17d5-4083-8fc4-9d6f8fdbbbde	0.84
0363fe2c-d765-450e-8b1a-d13a23d9af2a	0.889
0385961e-ea99-40b2-ad79-6872bc30d8a1	0.918
03ad38a6-0902-4aaa-84a3-91ea88fa9883	0.62
03b5268e-881e-49e7-824f-170c3fc8b11b	0.973
03c3c692-8a86-4843-85ae-e045f0fa6f88	0.409
03c88506-d72e-4a44-a34e-a7f0564f1799	0.694
03ced0ce-186a-4349-8d98-572c2bc90382	0.82
03cff38d-7e29-4409-a508-749bddb1b3df	0.538
041e3b42-c623-11e3-bf01-24c6515278c0	0.5
04339769-517c-448d-a7ca-951f83608c60	0.883
0448206f-3ade-4087-b1a9-4fb2d14e1367	0.413
046d7386-95c8-4501-9e55-c85bec272a7a	0.46
047f9e4d-86b5-4943-aef5-68199bf29e8c	0.639
04aa6b77-8074-480c-872e-a1a47afa5314	0.517
