gene_id	CHROM	START	END	STRAND	gene_type	gene_name	tss	tts	tss_left	tss_right	Ratio	Freq	Estimate	StdError	t	pvalue	p.onesided	fdr.onesided	p.emp	p.emp.onesided	p.emp.fdr
ENSG00000136231.9	7	23349828	23510086	-	protein_coding	IGF2BP3	23510086	23349828	23010086	24010086	7/40	14.9	1.68217770628193	0.354431246242334	4.74613263959178	2.52819104777793e-05	1.26409552388897e-05	0.000442433433361138	0	0	0
ENSG00000212264.1	7	23436065	23436135	+	snoRNA	SNORD65	23436065	23436135	22936065	23936065	7/40	14.9	1.57852981981997	0.365149286727243	4.32297111673969	9.58259104585717e-05	4.79129552292859e-05	0.000838476716512502	0	0	0
ENSG00000165731.13	10	43572475	43625799	+	protein_coding	RET	43572475	43625799	43072475	44072475	6/41	12.8	1.7448052723996	0.42266252907708	4.12812859519279	0.000174889605774284	8.7444802887142e-05	0.00102018936701666	0	0	0
ENSG00000252590.1	7	23490277	23490341	+	snRNA	RNU7-143P	23490277	23490341	22990277	23990277	7/40	14.9	1.35498729472636	0.382748454919588	3.54015091977583	0.00101174693021051	0.000505873465105255	0.00442639281967098	0	0	0
ENSG00000232627.1	7	23405237	23405595	+	pseudogene	AC021876.4	23405237	23405595	22905237	23905237	7/40	14.9	1.25903546351001	0.397319683410785	3.16882227606202	0.00289128603805799	0.001445643019029	0.010119501133203	0	0	0
ENSG00000224265.1	10	43819113	43823380	+	lincRNA	RP11-168L22.2	43819113	43823380	43319113	44319113	6/41	12.8	1.279441840066	0.428160938015313	2.98822645054145	0.00472358531665785	0.00236179265832892	0.0137771238402521	0.00813008130081301	0.0040650406504065	0.0237127371273713
ENSG00000231009.1	10	43189819	43210023	-	pseudogene	CUBNP1	43210023	43189819	42710023	43710023	6/41	12.8	1.17112269674549	0.448497709252454	2.61121221487952	0.0125466101267748	0.0062733050633874	0.0274457096523199	0.024390243902439	0.0121951219512195	0.0517368810051737
ENSG00000249628.2	12	1609691	1616484	-	lincRNA	LINC00942	1616484	1609691	1116484	2116484	3/44	6.4	1.57952024969623	0.601109407767115	2.62767514413644	0.0119527495011714	0.0059763747505857	0.0274457096523199	0.024390243902439	0.0121951219512195	0.0517368810051737
ENSG00000236654.2	7	23520372	23520578	+	pseudogene	AC079780.3	23520372	23520578	23020372	24020372	6/41	12.8	1.00961203613338	0.444181627067793	2.27297117802508	0.0283361446253227	0.0141680723126614	0.055098058993683	0.032520325203252	0.016260162601626	0.0517368810051737
ENSG00000111186.8	12	1639057	1756409	+	protein_coding	WNT5B	1639057	1756409	1139057	2139057	3/44	6.4	1.29375306130408	0.584372722639652	2.21391760974076	0.0323179593446846	0.0161589796723423	0.0565564288531981	0.032520325203252	0.016260162601626	0.0517368810051737
ENSG00000198915.7	10	43689983	43762367	-	protein_coding	RASGEF1A	43762367	43689983	43262367	44262367	6/41	12.8	0.93181201105962	0.46183257620515	2.01764028582882	0.0502060971713798	0.0251030485856899	0.0798733364090133	0.032520325203252	0.016260162601626	0.0517368810051737
ENSG00000152518.5	2	43449541	43453748	-	protein_coding	ZFP36L2	43453748	43449541	42953748	43953748	6/41	12.8	0.806454229521745	0.435154294885909	1.85326041590187	0.0708788543807347	0.0354394271903673	0.0891661716946144	0.0731707317073171	0.0365853658536585	0.0914634146341463
ENSG00000232109.1	10	43156176	43157224	+	pseudogene	AL022344.2	43156176	43157224	42656176	43656176	6/41	12.8	0.831639291369338	0.449209901740392	1.85133784484109	0.0713329373556915	0.0356664686778458	0.0891661716946144	0.0731707317073171	0.0365853658536585	0.0914634146341463
ENSG00000232818.2	7	23530092	23530983	+	pseudogene	RPS2P32	23530092	23530983	23030092	24030092	6/41	12.8	0.855303240150874	0.446908898574284	1.91382011608952	0.0626416958353559	0.031320847917678	0.0891661716946144	0.0650406504065041	0.032520325203252	0.0914634146341463
