gene_id	CHROM	START	END	STRAND	gene_type	gene_name	tss	tts	tss_left	tss_right	Ratio	Freq	Estimate	StdError	t	pvalue	p.onesided	fdr.onesided	p.emp	p.emp.onesided	p.emp.fdr
ENSG00000136231.9	7	23349828	23510086	-	protein_coding	IGF2BP3	23510086	23349828	23010086	24010086	7/40	14.9	1.6875486932847	0.353198214081352	4.77790834156371	2.2847388750216e-05	1.1423694375108e-05	0.000231044004800123	0	0	0
ENSG00000232627.1	7	23405237	23405595	+	pseudogene	AC021876.4	23405237	23405595	22905237	23905237	7/40	14.9	1.61017951541769	0.340896596656666	4.72336635569108	2.71816476235439e-05	1.35908238117719e-05	0.000231044004800123	0	0	0
ENSG00000165731.13	10	43572475	43625799	+	protein_coding	RET	43572475	43625799	43072475	44072475	6/41	12.8	1.73032142863283	0.422440617463497	4.09601102995819	0.000192960106834795	9.64800534173975e-05	0.00109344060539717	0	0	0
ENSG00000212264.1	7	23436065	23436135	+	snoRNA	SNORD65	23436065	23436135	22936065	23936065	7/40	14.9	1.22924815144367	0.3810002222066	3.22637121921965	0.00246557166864388	0.00123278583432194	0.0104786795917365	0	0	0
ENSG00000224265.1	10	43819113	43823380	+	lincRNA	RP11-168L22.2	43819113	43823380	43319113	44319113	6/41	12.8	1.26261305268107	0.452660790340477	2.78931394020537	0.0079761283774382	0.0039880641887191	0.0225990304027416	0	0	0
ENSG00000236654.2	7	23520372	23520578	+	pseudogene	AC079780.3	23520372	23520578	23020372	24020372	6/41	12.8	1.20392595229487	0.428524063327182	2.80947105501439	0.00757009069694995	0.00378504534847497	0.0225990304027416	0	0	0
ENSG00000249628.2	12	1609691	1616484	-	lincRNA	LINC00942	1616484	1609691	1116484	2116484	3/44	6.4	1.58148723389519	0.602244432145254	2.62598896640983	0.0120035573708303	0.00600177868541515	0.0291514964720164	0.00740740740740741	0.0037037037037037	0.017989417989418
ENSG00000252590.1	7	23490277	23490341	+	snRNA	RNU7-143P	23490277	23490341	22990277	23990277	7/40	14.9	0.912239266715159	0.368686007877907	2.47429858259566	0.0175785688085518	0.0087892844042759	0.0373544587181726	0.0148148148148148	0.00740740740740741	0.0314814814814815
ENSG00000234800.2	7	23760930	23761401	-	pseudogene	PCMTD1P3	23761401	23760930	23261401	24261401	6/41	12.8	0.986825031730455	0.42982473861589	2.29587769868296	0.0268685874986901	0.013434293749345	0.0507517763864146	0.0222222222222222	0.0111111111111111	0.0419753086419753
ENSG00000111186.8	12	1639057	1756409	+	protein_coding	WNT5B	1639057	1756409	1139057	2139057	3/44	6.4	1.30268458141085	0.583404819655801	2.23289993075376	0.0309416856263353	0.0154708428131676	0.05260086556477	0.0444444444444444	0.0222222222222222	0.062962962962963
ENSG00000152518.5	2	43449541	43453748	-	protein_coding	ZFP36L2	43453748	43449541	42953748	43953748	6/41	12.8	0.940174584261283	0.432275199181096	2.17494454005771	0.0353149667886236	0.0176574833943118	0.0545776759460547	0.0444444444444444	0.0222222222222222	0.062962962962963
ENSG00000232818.2	7	23530092	23530983	+	pseudogene	RPS2P32	23530092	23530983	23030092	24030092	6/41	12.8	0.842680444835864	0.448376224687563	1.87940483557766	0.067309460886103	0.0336547304430515	0.0880200642356732	0.0740740740740741	0.037037037037037	0.0968660968660969
