CHROM	TYPE	START	END	STRAND	transcript_id	gene_id	gene_type	gene_name
1	gene	74100899	74180897	+	ENSG00000223479.3	ENSG00000223479.3	lincRNA	RP4-788P17.1
1	gene	74215200	74215306	-	ENSG00000200601.1	ENSG00000200601.1	rRNA	RNA5SP50
1	gene	74349396	74349505	+	ENSG00000252005.1	ENSG00000252005.1	snRNA	RNU4ATAC8P
1	gene	74663896	74699770	+	ENSG00000254685.2	ENSG00000254685.2	protein_coding	FPGT
1	gene	74663919	75009666	+	ENSG00000259030.2	ENSG00000259030.2	protein_coding	FPGT-TNNI3K
1	gene	74663947	75010112	+	ENSG00000116783.10	ENSG00000116783.10	protein_coding	TNNI3K
1	gene	74807263	74844486	-	ENSG00000237324.2	ENSG00000237324.2	antisense	RP11-439H8.4
1	gene	74933879	74935227	+	ENSG00000233894.1	ENSG00000233894.1	antisense	RP4-650F12.2
1	gene	74935562	74978298	-	ENSG00000162621.5	ENSG00000162621.5	protein_coding	LRRC53
1	gene	75055419	75087403	+	ENSG00000234497.1	ENSG00000234497.1	antisense	RP4-612J11.1
1	gene	86194916	86622626	-	ENSG00000171502.10	ENSG00000171502.10	protein_coding	COL24A1
1	gene	86349363	86349481	-	ENSG00000201620.1	ENSG00000201620.1	rRNA	RNA5SP51
1	gene	86495537	86496272	+	ENSG00000229505.1	ENSG00000229505.1	pseudogene	RP4-682E18.1
1	gene	86814344	86862023	-	ENSG00000122417.11	ENSG00000122417.11	protein_coding	ODF2L
1	gene	86869859	86870549	-	ENSG00000231349.2	ENSG00000231349.2	pseudogene	RP11-444C12.1
1	gene	86889769	86922241	+	ENSG00000137975.7	ENSG00000137975.7	protein_coding	CLCA2
1	gene	86934051	86965972	+	ENSG00000016490.11	ENSG00000016490.11	protein_coding	CLCA1
1	gene	87012761	87046437	+	ENSG00000016602.8	ENSG00000016602.8	protein_coding	CLCA4
1	gene	87018308	87019025	-	ENSG00000224466.1	ENSG00000224466.1	pseudogene	RP4-651E10.3
1	gene	87036864	87158886	-	ENSG00000236915.1	ENSG00000236915.1	antisense	RP4-651E10.4
1	gene	87071953	87072040	-	ENSG00000221702.2	ENSG00000221702.2	miRNA	AL356270.1
1	gene	87099956	87121059	+	ENSG00000153923.6	ENSG00000153923.6	pseudogene	CLCA3P
1	gene	87169185	87170145	-	ENSG00000261737.1	ENSG00000261737.1	antisense	RP4-612B15.3
1	gene	87170259	87213867	+	ENSG00000097033.10	ENSG00000097033.10	protein_coding	SH3GLB1
1	gene	87250596	87251150	+	ENSG00000230721.1	ENSG00000230721.1	pseudogene	RP4-612B15.2
1	gene	87328132	87380107	-	ENSG00000183291.11	ENSG00000183291.11	protein_coding	SEP15
1	gene	87380331	87602334	+	ENSG00000153936.12	ENSG00000153936.12	protein_coding	HS2ST1
1	gene	87397882	87400574	-	ENSG00000267734.1	ENSG00000267734.1	lincRNA	RP4-604K5.3
1	gene	87409368	87410425	-	ENSG00000224198.1	ENSG00000224198.1	antisense	RP4-604K5.2
1	gene	87458692	87634884	+	ENSG00000267561.1	ENSG00000267561.1	protein_coding	RP5-1052I5.2
1	gene	87510618	87511554	-	ENSG00000235251.2	ENSG00000235251.2	pseudogene	RP11-384B12.2
1	gene	87511558	87512383	+	ENSG00000225568.1	ENSG00000225568.1	pseudogene	RP11-384B12.3
1	gene	87595448	87634881	+	ENSG00000267272.1	ENSG00000267272.1	lincRNA	RP5-1052I5.1
1	gene	87616981	87617128	+	ENSG00000221222.1	ENSG00000221222.1	miRNA	AL139139.1
1	gene	87794151	87814606	+	ENSG00000143013.8	ENSG00000143013.8	protein_coding	LMO4
1	gene	87819207	87837338	-	ENSG00000227290.1	ENSG00000227290.1	lincRNA	RP4-544H6.2
1	gene	87918923	87919056	-	ENSG00000199318.1	ENSG00000199318.1	rRNA	RNA5SP52
1	gene	88365592	88371397	-	ENSG00000224235.1	ENSG00000224235.1	lincRNA	RP5-1027O11.1
1	gene	88778836	88778985	+	ENSG00000270507.1	ENSG00000270507.1	pseudogene	CTA-21C21.1
1	gene	88943514	88943797	-	ENSG00000239504.2	ENSG00000239504.2	misc_RNA	RN7SL583P
1	gene	88963992	88964359	-	ENSG00000230053.2	ENSG00000230053.2	pseudogene	RP11-76N22.1
1	gene	89043563	89043884	+	ENSG00000237959.1	ENSG00000237959.1	pseudogene	RPL36AP10
1	gene	185195940	185196832	-	ENSG00000213051.3	ENSG00000213051.3	pseudogene	RPL5P5
1	gene	185220445	185220543	+	ENSG00000201421.1	ENSG00000201421.1	misc_RNA	Y_RNA
1	gene	185227043	185227147	-	ENSG00000206640.1	ENSG00000206640.1	misc_RNA	Y_RNA
1	gene	185231418	185233488	-	ENSG00000233583.1	ENSG00000233583.1	pseudogene	RP4-635A23.3
1	gene	185235667	185235759	+	ENSG00000252612.1	ENSG00000252612.1	misc_RNA	Y_RNA
1	gene	185249976	185250948	+	ENSG00000238061.2	ENSG00000238061.2	pseudogene	RP4-635A23.4
1	gene	185265520	185286461	-	ENSG00000116679.11	ENSG00000116679.11	protein_coding	IVNS1ABP
